"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"1","Didelphidae","Didelphis virginiana",2.621,2.621,2.27,2.27,"5.152",4.3,3000,"10 mf","D","(VanDruff 1969)"
"2","Didelphidae","Didelphis virginiana",NA,NA,NA,NA,"5.91",3.78,3000,"4 m 9 f","D","(Gillette 1980)"
"3","Macropodidae","Macropus rufus",NA,NA,NA,NA,"",323,55000,"1 m 15 f","D","(Priddel, Wellard & Shepherd 1988)"
"4","Phalangeridae","Macropus fuliginosus",NA,NA,NA,NA,"85",NA,28250,"2 m 7 f","D","(Priddel, Wellard & Shepherd 1988)"
"5","Phalangeridae","Trichosurus vulpecula",5.33,6.17,5,4,"11.5",NA,2395,"9 m 3 f","D","(Cowan et al. 1996)"
"6","Phalangeridae","Trichosurus vulpecula",5.61,3.25,5.45,3.25,"12.8",4.3,2395,"13 m 2 f","D","(Cowan et al. 1997)"
"7","Phalangeridae","Trichosurus vulpecula",NA,NA,3.5,NA,"10",5,2395,"12 m 1 f","D","(Clout & Efford 1984)"
"8","Potoridae","Bettongia lesueur",4.6,1.1,NA,NA,"6.2",2.5,NA,"10 m 12 f","D","(Parsons, Short & Calver 2002)"
"9","Dasyuridae","Sarcophilus harrisii",20.27,42.03,NA,NA,"109.3",109.3,6500,"8 m 7 f","D","(Lachish et al. 2011)"
"10","Dasyuridae","Phascogale calura",0.142,0.05,NA,NA,"0.8",NA,43,"54 m 216 f","D","(Bradley 1997)"
"11","Dasyuridae","Phascogale tapotafa",4.73,0.64,NA,NA,"6.8",1.7,NA,"22 m 35 f","D","(Soderquist & Lill 1995)"
"12","Dasyuridae","Antechinus minimus",0.041,0.041,NA,NA,"",NA,NA,"","D","(Sale, Kraaijeveld-Smit & Arnould"
"13","","",NA,NA,NA,NA,"",NA,NA,"","","2009)"
"14","Dasyuridae","Sminthopsis youngsoni",4.7,NA,NA,NA,"5.7",3,10,"3 m 1 f","D","(Letnic 2002)"
"15","Ursidae","Ursus americanus",NA,NA,NA,NA,"200",15,154250,"8 m 1 f","D","(Elowe & Dodge 1989)"
"16","Ursidae","Ursus americanus",NA,NA,NA,NA,"500",NA,154250,"","D","(Stratman et al. 2001)"
